Year,Country,Player,Franchise,Base Price USD,Category2,Player Type,T20_Matches,T20_Innings,T20_100s,T20_50s,Highest score_T20,Total Runs_T20,T20 Avg,T20 Strike Rate,T20 Catches,ODI_Matches,ODI_Innings,ODI_100s,ODI_50s,Highest score_ODI,Total Runs_ODI,ODI Avg,ODI Strike Rate,ODI Catches
2017,Away,Eoin Morgan,Kings XI Punjab,298507,Low,Batsman,10,10,0,0,47,175,21.88,117.45,5,15,13,0,2,68,328,29.82,87,5
2017,Away,Nicholas Pooran,Mumbai Indians,44776,Low,Batsman,3,3,0,0,16,25,8.33,113.64,0,0,0,0,0,0,0,0,0,0
2017,Away,Martin Guptill,Kings XI Punjab,74627,Low,Batsman,9,9,0,4,87,392,49,171.93,9,18,18,2,4,114,727,42.76,99.86,9
2017,Away,Jason Roy,Gujarat Lions,149254,Low,Batsman,10,10,0,1,78,228,22.8,133.33,1,17,17,2,2,162,647,43.13,108.01,3
2009,Away,Kevin Pietersen,Royal Challengers Bangalore,1350000,High,Batsman,8,8,0,1,79,224,28,157,1,25,25,2,7,104,889,42.33,78.67,8
2009,Away,Owais Shah,Delhi Daredevils,150000,Low,Batsman,7,7,0,1,55,165,27.5,135.25,0,13,12,1,2,107,408,37,79.22,2
2009,Away,Mohammad Ashraful,Mumbai Indians,75000,Low,Batsman,7,7,0,1,61,130,18.57,180.56,1,22,21,0,3,67,509,28.3,81.3,3
2010,Away,Eoin Morgan,Royal Challengers Bangalore,200000,Low,Batsman,3,3,0,1,85,101,50,168,1,17,17,0,5,84,507,46.7,85,8
2010,Away,Adam Voges,Rajasthan Royals,50000,Low,Batsman,1,1,0,0,26,26,26,130,0,1,1,0,0,16,16,16,160,1
2008,Away,Mahela Jayawardene,Kings XI Punjab,225000,Medium,Batsman,5,5,0,1,65,159,39.75,152.88,2,0,0,0,0,0,0,0,0,0
2008,Away,Chamara Silva,Sunrisers Hyderabad,225000,Low,Batsman,5,5,0,0,12,12,12,63.16,1,0,0,0,0,0,0,0,0,0
2008,Away,Stephen Fleming,Chennai Super Kings,150000,Medium,Batsman,0,0,0,0,0,0,0,0,0,23,22,2,4,106,669,33.45,76.9,14
2008,Home,Mahendra Singh Dhoni,Chennai Super Kings,200000,High,Batsman,8,7,0,0,45,163,32.6,130.4,1,37,33,1,7,139,1103,44.12,89.6,31
2008,Away,Adam Gilchrist,Sunrisers Hyderabad,300000,High,Batsman,9,9,0,0,48,230,28.75,152.32,16,30,29,1,7,149,934,34.59,102.41,41
2008,Away,Kumar Sangakkara,Kings XI Punjab,100000,High,Batsman,5,5,0,0,30,104,20.8,105.05,3,26,25,1,6,110,758,31.58,71.04,30
2008,Away,Ricky Ponting,Kolkata Knight Riders,200000,Medium,Batsman,6,6,0,1,76,184,36.8,127.78,3,27,24,5,8,134,1424,79.11,91.69,14
2008,Away,Matthew Hayden,Chennai Super Kings,100000,Medium,Batsman,8,8,0,4,73,302,60,143,0,32,30,5,6,181,1600,59,89,19
2008,Away,Brendon McCullum,Kolkata Knight Riders,150000,High,Batsman,8,8,0,0,45,161,23,117,6,33,28,0,5,96,800,36,101,31
2008,Away,Graeme Smith,Rajasthan Royals,220000,Low,Batsman,7,7,0,1,71,172,28.67,128.36,6,26,25,0,12,96,1079,46.91,92.14,16
2008,Away,Herschelle Gibbs,Sunrisers Hyderabad,350000,Medium,Batsman,4,4,0,1,90,110,36.67,135.8,1,26,21,3,6,119,880,46.32,92.93,15
2008,Away,Younis Khan,Rajasthan Royals,200000,Low,Batsman,10,9,0,1,51,176,19.56,119.73,6,17,17,1,4,117,617,36.29,77.81,9
2008,Home,Dinesh Karthik,Delhi Daredevils,200000,Medium,Batsman,4,3,0,0,17,28,9.33,127.27,3,20,16,0,2,63,287,26.09,74.55,16
2008,Away,AB de Villiers,Delhi Daredevils,150000,Low,Batsman,8,7,0,1,52,102,20.4,106.25,10,33,32,3,8,146,1209,44.78,92.29,20
2008,Away,Mark Boucher,Royal Challengers Bangalore,250000,Medium,Batsman,6,4,0,0,36,95,23.75,92.23,7,30,23,0,5,78,631,37.12,101.77,39
2008,Away,Kamran Akmal,Rajasthan Royals,150000,Low,Batsman,10,7,0,0,21,76,15.2,116.92,3,20,19,0,1,51,293,17.24,67.67,18
2008,Home,Gautam Gambhir,Delhi Daredevils,200000,High,Batsman,8,7,0,4,75,290,41.43,127.75,2,21,21,1,5,101,634,35.22,74.68,6
2008,Home,Robin Uthappa,Mumbai Indians,250000,High,Batsman,8,7,0,1,50,148,21.14,117.46,1,22,20,0,3,70,509,29.7,111.38,10
2008,Home,Rohit Sharma,Sunrisers Hyderabad,150000,High,Batsman,5,3,0,1,50,88,0,144.26,2,4,3,0,1,52,61,20.33,82.43,3
2008,Away,Nathan Bracken,Royal Challengers Bangalore,200000,Low,Batsman,9,1,0,0,4,4,4,0,3,28,7,0,0,21,44,8,60,8
2008,Away,Dilhara Fernando,Mumbai Indians,300000,Low,Batsman,5,2,0,0,0,0,0,0,0,23,10,0,0,20,59,11.8,58.42,4
2008,Away,Michael Hussey,Chennai Super Kings,150000,Low,Batsman,8,5,0,0,37,105,21,125.33,4,27,18,1,1,105,447,31.93,79.4,15
2008,Away,Tatenda Taibu,Kolkata Knight Riders,150000,Low,Batsman,2,2,0,0,2,2,1,20,0,7,7,1,0,107,220,36.67,83.33,10
2008,Away,Ramnaresh Sarwan,Kings XI Punjab,150000,Low,Batsman,2,2,0,0,12,17,8.5,113.33,1,9,9,0,2,92,375,46.88,77.96,1
2008,Away,Shivnarine Chanderpaul,Royal Challengers Bangalore,100000,Low,Batsman,4,4,0,0,41,97,32.33,116.87,2,20,18,4,4,149,912,76,70.64,2
2014,Away,Ross Taylor,Delhi Daredevils,322581,Low,Batsman,6,5,0,1,32,83,20.75,122.06,5,13,13,2,3,107,510,46.36,77.98,7
2014,Away,Shaun Marsh,Kings XI Punjab,322581,Medium,Batsman,5,5,0,0,47,115,"28,75",103.6,2,5,4,1,0,151,216,54,85.38,0
2014,Away,Aaron Finch,Sunrisers Hyderabad,161290,Medium,Batsman,6,6,1,1,156,262,43.67,194.07,0,18,17,1,2,148,514,30.24,92.11,10
2015,Away,Aaron Finch,Mumbai Indians,161290,Medium,Batsman,13,13,0,3,71,390,32.5,134.02,4,18,18,4,3,121,790,43.89,84.04,6
2015,Away,Eoin Morgan,Sunrisers Hyderabad,241935,Low,Batsman,12,12,0,2,71,249,20.75,133.87,1,23,22,1,3,106,560,25.45,84.08,9
2011,Home,Gautam Gambhir,Kolkata Knight Riders,200000,High,Batsman,4,4,0,0,41,69,17.25,111.29,1,14,14,2,3,138,670,55.83,93.97,5
2011,Home,Rohit Sharma,Mumbai Indians,200000,High,Batsman,5,4,0,1,79,94,47,134.29,4,15,14,2,1,114,504,38.77,86.01,5
2011,Home,Saurabh Tiwary,Royal Challengers Bangalore,100000,High,Batsman,0,0,0,0,0,0,0,0,0,3,2,0,0,37,49,24.5,87.5,2
2011,Away,Mahela Jayawardene,Kochi Tuskers Kerala,400000,High,Batsman,9,9,1,2,100,343,42.88,156.62,4,15,15,1,4,108,509,42.42,79.91,3
2011,Away,Cameron White,Sunrisers Hyderabad,300000,High,Batsman,15,14,0,2,85,306,34,141.01,5,25,23,1,6,105,848,44.63,84.46,11
2011,Away,AB de Villiers,Royal Challengers Bangalore,400000,High,Batsman,9,9,0,1,53,194,24.25,111.49,9,16,16,5,4,114,964,80.33,102.12,22
2011,Away,Ross Taylor,Rajasthan Royals,400000,High,Batsman,13,11,0,0,44,191,21.22,106.7,5,20,19,0,7,95,676,37.56,81.06,16
2011,Home,Dinesh Karthik,Kings XI Punjab,200000,High,Batsman,2,2,0,0,16,29,14.5,100,1,16,16,0,2,79,455,28.44,77.25,5
2011,Away,David Warner,Delhi Daredevils,200000,High,Batsman,15,15,0,2,72,373,24.87,156.72,12,0,0,0,0,0,0,0,0,0
2011,Away,Kumar Sangakkara,Sunrisers Hyderabad,300000,High,Batsman,9,9,0,1,68,205,25.63,101.99,5,17,17,0,7,74,726,48.4,84.42,27
2011,Away,Kevin Pietersen,Sunrisers Hyderabad,400000,Medium,Batsman,8,8,0,3,73,353,70.6,134.22,3,9,9,0,0,33,153,17,74.27,0
2011,Away,Graeme Smith,Pune Warriors India,400000,Medium,Batsman,11,11,0,1,58,316,28.73,125.4,8,11,11,0,1,92,328,32.8,85.42,7
2011,Away,Brendon McCullum,Kochi Tuskers Kerala,400000,Medium,Batsman,10,10,1,1,116,287,41,141.38,6,15,15,0,2,61,324,21.6,9.59,19
2011,Away,Michael Hussey,Chennai Super Kings,200000,Medium,Batsman,9,8,0,1,60,231,57.75,169.85,8,24,23,0,6,79,825,45.83,91.56,11
2011,Away,Shaun Marsh,Kings XI Punjab,400000,Medium,Batsman,0,0,0,0,0,0,0,0,0,10,10,0,2,83,313,31.3,71.79,5
2011,Away,Eoin Morgan,Kolkata Knight Riders,200000,Medium,Batsman,11,11,0,2,67,315,52.5,132.91,7,17,17,3,2,110,691,53.15,93.89,8
2011,Away,Brad Haddin,Kolkata Knight Riders,200000,Low,Batsman,13,12,0,0,47,224,20.36,119.79,8,16,15,1,1,110,387,32.25,87.95,33
2011,Away,Callum Ferguson,Pune Warriors India,200000,Low,Batsman,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2011,Home,Naman Ojha,Delhi Daredevils,100000,Low,Batsman,2,2,0,0,10,12,6,44.44,0,1,1,0,0,1,1,1,14.29,0
2011,Away,Tim Paine,Pune Warriors India,100000,Low,Batsman,2,2,0,0,1,1,0.5,16.67,2,9,9,0,2,81,278,30.89,62.47,14
2011,Away,Paul Collingwood,Rajasthan Royals,200000,Low,Batsman,11,11,0,0,21,97,10.78,101.14,5,16,16,0,2,95,500,35.71,70.52,6
2011,Away,Steven Smith,Kochi Tuskers Kerala,200000,Low,Batsman,14,9,0,0,34,96,13.71,137.14,0,9,6,0,0,41,139,27.8,94.56,3
2011,Away,Colin Ingram,Delhi Daredevils,100000,Low,Batsman,4,4,0,0,46,92,30.67,135.29,1,8,7,2,0,124,288,57.6,93.81,2
2011,Away,Michael Lumb,Sunrisers Hyderabad,50000,Low,Batsman,7,7,0,0,33,137,19.5,141.23,3,0,0,0,0,0,0,0,0,0
2011,Away,Travis Birt,Delhi Daredevils,20000,Low,Batsman,3,2,0,0,13,14,7,116.67,1,0,0,0,0,0,0,0,0,0
2017,Away,Asela Gunaratne,Mumbai Indians,44776,Low,Batsman,1,1,0,0,4,4,4,33.33,0,5,3,0,0,18,40,20,70.18,0
2017,Away,Rovman Powell,Kolkata Knight Riders,44776,Low,Batsman,0,0,0,0,0,0,0,0,0,4,4,0,0,44,77,19.25,111.59,4
2015,Home,Dinesh Karthik,Royal Challengers Bangalore,3225806,High,Batsman,0,0,0,0,0,0,0,0,0,4,4,0,0,23,50,25,64.1,3
2015,Home,Yuvraj Singh,Delhi Daredevils,322581,High,Batsman,6,5,0,1,60,100,20,98.04,0,18,15,0,2,61,276,"19,71",78.41,9
2014,Home,Cheteshwar Pujara,Kings XI Punjab,241935,Low,Batsman,0,0,0,0,0,0,0,0,0,2,2,0,0,13,13,6.5,46.43,0
2014,Away,David Warner,Sunrisers Hyderabad,241935,High,Batsman,4,4,0,2,90,151,50.33,131.3,2,4,4,0,1,60,83,20.75,67.48,3
2014,Away,Faf Du Plessis,Chennai Super Kings,241935,High,Batsman,8,8,0,2,85,234,39,108.84,4,21,21,0,3,62,539,26.95,79.03,15
2014,Away,George Bailey,Kings XI Punjab,322581,Medium,Batsman,6,6,0,0,45,95,15.83,128.38,2,22,20,2,8,156,1098,64.59,100,11
2014,Away,Jean-Paul Duminy,Delhi Daredevils,161290,Medium,Batsman,6,5,0,2,51,190,63.33,125.33,3,21,21,1,3,150,659,36.61,83.52,7
2014,Away,Kevin Pietersen,Delhi Daredevils,322581,High,Batsman,1,0,0,0,0,0,0,0,0,9,9,0,2,76,256,28.44,83.66,1
2014,Home,Murali Vijay,Delhi Daredevils,322581,High,Batsman,0,0,0,0,0,0,0,0,0,3,2,0,0,30,57,28.5,89.06,2
2014,Away,Nic Maddinson,Royal Challengers Bangalore,80645,Low,Batsman,1,1,0,0,34,34,34,212.5,0,0,0,0,0,0,0,0,0,0
2014,Away,Tanmay Mishra,Royal Challengers Bangalore,16129,Low,Batsman,6,6,0,0,19,40,6.67,76.92,2,4,4,0,2,61,149,74.5,80.98,1
2014,Home,Virender Sehwag,Kings XI Punjab,322581,Medium,Batsman,0,0,0,0,0,0,0,0,0,1,1,0,0,31,31,31,72.09,2
2013,Away,Quinton de Kock,Sunrisers Hyderabad,20000,Low,Batsman,3,3,0,0,28,30,30,111.1,3,0,0,0,0,0,0,0,0,0
2013,Away,Glenn Maxwell,Mumbai Indians,200000,High,Batsman,7,4,0,0,27,39,13,102.63,2,4,4,0,1,56,124,41.33,113.76,1
2013,Away,Jesse Ryder,Delhi Daredevils,100000,Low,Batsman,1,1,0,1,52,52,52,123.81,0,2,2,0,0,6,6,3,42.86,1
2012,Away,Brendon McCullum,Kolkata Knight Riders,400000,High,Batsman,2,2,0,2,81,145,145,174.7,4,17,15,1,2,101,470,39.17,91.62,25
2012,Away,Mahela Jayawardene,Delhi Daredevils,300000,High,Batsman,3,3,0,2,86,169,84.5,129.01,2,27,24,3,7,144,1032,46.91,82.63,16
2012,Home,Parthiv Patel,Sunrisers Hyderabad,200000,Medium,Batsman,2,2,0,0,26,36,18,112.5,1,21,21,0,2,95,491,24.55,81.56,15
2012,Away,Dinesh Chandimal,Rajasthan Royals,50000,Low,Batsman,3,3,0,1,56,80,26.67,121.21,0,13,13,1,1,105,297,24.75,74.44,7
2012,Away,Darren Bravo,Sunrisers Hyderabad,100000,Low,Batsman,3,3,0,0,42,90,30,112.5,0,24,23,0,5,86,637,31.85,69.85,3
2016,Away,Aaron Finch,Gujarat Lions,148148,Low,batsman,0,0,0,0,0,0,0,0,0,16,15,1,4,135,561,40.07,88.35,9
2016,Away,Carlos Brathwaite,Delhi Daredevils,44444,Medium,batsman,1,1,0,0,1,1,1,50,0,6,6,0,0,18,60,10,92.31,2
2016,Away,Farhaan Behardien,Kings XI Punjab,44444,Low,batsman,7,6,0,0,36,109,54.5,115.96,2,20,15,0,2,70,400,40,104,7
2016,Away,Jos Buttler,Mumbai Indians,222222,Medium,batsman,3,3,0,0,33,46,15.33,158.62,1,21,18,2,2,129,642,42.8,119,29
